contb_receipt_amt,contb_receipt_dt,contbr_zip,latitude,longitude
200,31-Aug-08,62877,38.3999,89.2011
100,5-Jun-08,78240,29.5257,98.6062
500,28-Mar-08,32963,27.7066,80.3826
100,12-Jul-07,34031,0.0000,0.0000
