disb_amt,disb_dt,recipient_zip,latitude,longitude
1991.21,4-Apr-08,99501,61.2169,149.8682
1000,17-Sep-08,99501,61.2169,149.8682
601.44,30-Sep-08,99517,61.1898,149.9382
1905.12,30-Sep-08,99503,61.1877,149.8890
